Indicator,Partner Name,Reporter Name,Trade Flow,Year,Export Partner Share
Export Partner Share (%),China,Australia,Export,2019,38.665 
Export Partner Share (%),Japan,Australia,Export,2019,14.812 
Export Partner Share (%),"Korea, Rep.",Australia,Export,2019,6.556 
Export Partner Share (%),United Kingdom,Australia,Export,2019,3.968 
Export Partner Share (%),United States,Australia,Export,2019,3.818 
Export Partner Share (%),India,Australia,Export,2019,3.642 
Export Partner Share (%),"Other Asia, nes",Australia,Export,2019,3.318 
Export Partner Share (%),Singapore,Australia,Export,2019,3.143 
Export Partner Share (%),New Zealand,Australia,Export,2019,2.657 
Export Partner Share (%),Malaysia,Australia,Export,2019,2.321 
Export Partner Share (%),"Hong Kong, China",Australia,Export,2019,1.941 
Export Partner Share (%),Vietnam,Australia,Export,2019,1.579 
Export Partner Share (%),Indonesia,Australia,Export,2019,1.539 
Export Partner Share (%),Thailand,Australia,Export,2019,1.150 
Export Partner Share (%),United Arab Emirates,Australia,Export,2019,0.949 
Export Partner Share (%),Netherlands,Australia,Export,2019,0.814 
Export Partner Share (%),Philippines,Australia,Export,2019,0.720 
Export Partner Share (%),Papua New Guinea,Australia,Export,2019,0.659 
Export Partner Share (%),Germany,Australia,Export,2019,0.640 
Export Partner Share (%),Canada,Australia,Export,2019,0.570 
Export Partner Share (%),Switzerland,Australia,Export,2019,0.494 
Export Partner Share (%),Bunkers,Australia,Export,2019,0.455 
Export Partner Share (%),France,Australia,Export,2019,0.410 
Export Partner Share (%),South Africa,Australia,Export,2019,0.398 
Export Partner Share (%),Belgium,Australia,Export,2019,0.355 
Export Partner Share (%),Bahrain,Australia,Export,2019,0.309 
Export Partner Share (%),Brazil,Australia,Export,2019,0.265 
Export Partner Share (%),Bangladesh,Australia,Export,2019,0.239 
Export Partner Share (%),Qatar,Australia,Export,2019,0.215 
Export Partner Share (%),Saudi Arabia,Australia,Export,2019,0.215 
Export Partner Share (%),Russian Federation,Australia,Export,2019,0.191 
Export Partner Share (%),Italy,Australia,Export,2019,0.174 
Export Partner Share (%),Poland,Australia,Export,2019,0.150 
Export Partner Share (%),"Egypt, Arab Rep.",Australia,Export,2019,0.137 
Export Partner Share (%),Mozambique,Australia,Export,2019,0.132 
Export Partner Share (%),Sweden,Australia,Export,2019,0.131 
Export Partner Share (%),Turkey,Australia,Export,2019,0.127 
Export Partner Share (%),New Caledonia,Australia,Export,2019,0.123 
Export Partner Share (%),Fiji,Australia,Export,2019,0.119 
Export Partner Share (%),Spain,Australia,Export,2019,0.118 
Export Partner Share (%),Kuwait,Australia,Export,2019,0.115 
Export Partner Share (%),Oman,Australia,Export,2019,0.104 
Export Partner Share (%),Pakistan,Australia,Export,2019,0.087 
Export Partner Share (%),Chile,Australia,Export,2019,0.085 
Export Partner Share (%),Argentina,Australia,Export,2019,0.081 
Export Partner Share (%),Israel,Australia,Export,2019,0.073 
Export Partner Share (%),Mexico,Australia,Export,2019,0.072 
Export Partner Share (%),Iceland,Australia,Export,2019,0.068 
Export Partner Share (%),Yemen,Australia,Export,2019,0.066 
Export Partner Share (%),Norway,Australia,Export,2019,0.059 
Export Partner Share (%),Sri Lanka,Australia,Export,2019,0.059 
Export Partner Share (%),Jordan,Australia,Export,2019,0.040 
Export Partner Share (%),Myanmar,Australia,Export,2019,0.035 
Export Partner Share (%),Czech Republic,Australia,Export,2019,0.034 
Export Partner Share (%),Denmark,Australia,Export,2019,0.032 
Export Partner Share (%),Solomon Islands,Australia,Export,2019,0.031 
Export Partner Share (%),Mauritius,Australia,Export,2019,0.026 
Export Partner Share (%),Slovenia,Australia,Export,2019,0.026 
Export Partner Share (%),Ghana,Australia,Export,2019,0.024 
Export Partner Share (%),Ireland,Australia,Export,2019,0.024 
Export Partner Share (%),Panama,Australia,Export,2019,0.023 
Export Partner Share (%),Peru,Australia,Export,2019,0.023 
Export Partner Share (%),Georgia,Australia,Export,2019,0.022 
Export Partner Share (%),Cambodia,Australia,Export,2019,0.022 
Export Partner Share (%),Nigeria,Australia,Export,2019,0.022 
Export Partner Share (%),Ukraine,Australia,Export,2019,0.022 
