Reporter Name,Partner Name,Trade Flow,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,Afghanistan,Export,Export Partner Share (%),0.0001,0.0007,0.0026,0.0034,0.0062,0.0038,0.0116,0.0076,0.0066,0.0105,0.0045,0.0056,0.0042,0.0026,0.0026,0.0009,0.0091,0.004,0.0019,0.0002
Australia,Albania,Export,Export Partner Share (%),0.0005,0.0009,0.0006,0.0102,0.001,0.0009,0.0004,0.0013,0.0004,0.0007,0.0007,0.0012,0.0007,0.0011,0.0009,0.0011,0.001,0.0014,0.0009,0.0005
Australia,Algeria,Export,Export Partner Share (%),0.0406,0.0569,0.0656,0.0486,0.0591,0.0643,0.0684,0.0386,0.0392,0.0206,0.0094,0.0087,0.0018,0.0014,0.0184,0.0054,0.0033,0.0107,0.0036,0.0011
Australia,American Samoa,Export,Export Partner Share (%),0.0947,0.0421,0.0621,0.0522,0.0133,0.0126,0.0066,0.006,0.0052,0.003,0.0023,0.002,0.0031,0.0018,0.0026,0.004,0.0036,0.0033,0.0027,0.0029
Australia,Angola,Export,Export Partner Share (%),0.0022,0.003,0.0032,0.0048,0.0023,0.0017,0.0029,0.0041,0.0103,0.0057,0.0044,0.0026,0.0032,0.0033,0.0044,0.0024,0.0024,0.0024,0.007,0.0012
Australia,Anguila,Export,Export Partner Share (%),0.0001,0.0001,,0.0001,,0,0,,0,0,0.0001,,0,,0,0,,,0,
Australia,Antarctica,Export,Export Partner Share (%),,,,0.0011,0.0037,0.0127,0.0039,0.002,0.0028,0.0047,0.0032,0.002,0.0019,0.0036,0.0026,0.0037,0.0026,0.0026,0.0027,0.0015
Australia,Antigua and Barbuda,Export,Export Partner Share (%),0.0008,0.0008,0.0015,0.0009,0.0016,0.0001,0.0004,0.0008,0.0003,0.0002,0.0003,0.0003,0.0003,0.0007,0.0001,0.0001,0.0002,0.0003,0.0004,0.0002
Australia,Argentina,Export,Export Partner Share (%),0.0914,0.0679,0.0533,0.0806,0.0676,0.1113,0.1108,0.0683,0.1315,0.103,0.1476,0.1457,0.1104,0.0495,0.0502,0.1376,0.0657,0.1104,0.1313,0.0806
Australia,Armenia,Export,Export Partner Share (%),0.0006,0.0011,0.0002,0.0015,0.0016,0.008,0.0008,0.0041,0.0017,0.0007,0.0004,0.0005,0.0009,0.0021,0.0005,0.0004,0.0003,0.0007,0.0003,0.0003
Australia,Austria,Export,Export Partner Share (%),0.0486,0.0524,0.0273,0.0497,0.0563,0.0447,0.0392,0.0312,0.0245,0.0205,0.0287,0.0274,0.0277,0.0269,0.0255,0.0289,0.0136,0.0151,0.0107,0.008
Australia,Azerbaijan,Export,Export Partner Share (%),0.0013,0.004,0.0061,0.0089,0.0055,0.0022,0.007,0.0051,0.0022,0.0055,0.0063,0.0035,0.0068,0.0041,0.0042,0.0031,0.0015,0.0016,0.0012,0.0004
Australia,"Bahamas, The",Export,Export Partner Share (%),0.0059,0.0076,0.0056,0.0128,0.0123,0.0047,0.0023,0.002,0.0048,0.0024,0.001,0.0006,0.0009,0.0013,0.0013,0.0015,0.0018,0.0034,0.0013,0.001
Australia,Bahrain,Export,Export Partner Share (%),0.0755,0.0826,0.0835,0.0987,0.0934,0.0825,0.0769,0.0793,0.0802,0.0731,0.076,0.0633,0.0615,0.0558,0.2731,,0.3055,0.2983,0.4198,0.3094
