Country,Export Value,Import Value,Continent
China,102995845,56946556,Asia
Japan,39454955,15471958,Asia
Korea,17463868,8636986,Asia
United Kingdom,10570263,5213782,Eurpoe
United States,10170511,26226410,North America
India,9702220,3364138,Asia
Singapore,8371746,7489223,Asia
New Zealand,7076784,5559642,Oceania
Malaysia,6183516,7800406,Asia
"Hong Kong, China",5169101,417163,Asia
Vietnam,4205898,4301364,Asia
Indonesia,4099330,3623278,Asia
Thailand,3062922,10667031,Asia
United Arab Emirates,2526467,1957916,Asia
Netherlands,2167155,2405736,Eurpoe
Philippines,1917633,520493,Asia
Papua New Guinea,1754288,2873336,Oceania
Germany,1703920,10527572,Eurpoe
Canada,1517281,1957653,North America
Switzerland,1316356,2500785,Eurpoe
