Name,State,Latitude,Longitude,Status,Commodity Group
A1,Victoria,-37.5051,146.1997,Operating,"Precious metals - Au, Ag"
Abel,New South Wales,-32.818419,151.621127,Care and maintenance,Coal
Abra,Western Australia,-24.643101,118.587279,Developing Mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Adelong,New South Wales,-35.2935,148.0675,Developing Mine,"Precious metals - Au, Ag"
Agate Creek,Queensland,-18.9942,143.5486,Operating,"Precious metals - Au, Ag"
Agnew,Western Australia,-28.00071,120.5081,Operating,"Precious metals - Au, Ag"
Agricola,South Australia,-36.1867,139.6796,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Airly,New South Wales,-33.097754,150.01477,Operating,Coal
Ammaroo,Northern Territory,-21.792109,135.834839,Developing Mine,"Fertiliser elements - P,K"
Amrun,Queensland,-12.973,141.633,Operating,Bauxite
Andy Well,Western Australia,-26.2278,118.6766,Care and maintenance,"Precious metals - Au, Ag"
Angas,South Australia,-35.251066,138.915917,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Angus Place,New South Wales,-33.349157,150.199019,Care and maintenance,Coal
Ant Hill,Western Australia,-22.090917,120.594976,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Appin,New South Wales,-34.2079,150.7918,Operating,Coal
Ardmore,Queensland,-21.647041,139.170007,Developing Mine,"Fertiliser elements - P,K"
Argyle,Western Australia,-16.711645,128.383926,Care and maintenance,Diamond
Ashton,New South Wales,-32.46667,151.06667,Operating,Coal
Atlas,Western Australia,-30.538165,115.248896,Developing Mine,"Heavy mineral sands - Ti, Zr"
Atlas-Campaspe,New South Wales,-33.7921,143.3413,Developing Mine,"Heavy mineral sands - Ti, Zr"
Avebury,Tasmania,-41.92011,145.24854,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Avonbank,Victoria,-36.62,142.32,Developing Mine,"Heavy mineral sands - Ti, Zr, REE"
Axehandle,Western Australia,-31.3165,119.3931,Operating,"Precious metals - Au, Ag"
Baal Gammon,Queensland,-17.3805,145.326922,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Balcooma,Queensland,-18.7718,144.713,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Bald Hill,Tasmania,-41.9025,147.4553,Operating,Bauxite
Bald Hill,Western Australia,-31.513331,122.181148,Care and maintenance,Lithium
Balla Balla,Western Australia,-20.765446,117.775173,Developing Mine,Iron ore
Ballarat East,Victoria,-37.5897,143.8597,Operating,"Precious metals - Au, Ag"
Balline,Western Australia,-28.02938,114.183055,Developing Mine,"Heavy mineral sands - Ti, Zr"
Balranald,New South Wales,-34.45993,143.461186,Developing Mine,"Heavy mineral sands - Ti, Zr"
Bamboo Creek,Western Australia,-20.9307,120.2117,Operating,"Precious metals - Au, Ag"
Baneygo,Western Australia,-27.9637,122.3123,Operating,"Precious metals - Au, Ag"
Baralaba,Queensland,-24.164856,149.803238,Care and maintenance,Coal
Barbara,Queensland,-20.415343,139.850148,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Barrambie,Western Australia,-27.433241,119.121101,Developing Mine,Iron ore
Bauxite Hills,Queensland,-11.83479,142.04488,Operating,Bauxite
Beatons Creek,Western Australia,-21.80833,120.4169,Operating,"Precious metals - Au, Ag"
Bendigo,Victoria,-36.7948,144.2606,Care and maintenance,"Precious metals - Au, Ag"
Beta Hunt,Western Australia,-31.24026,121.693915,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Beyondie,Western Australia,-24.77,120.32,Operating,"Fertiliser elements - P,K"
Big Bell,Western Australia,-27.3209,117.6542,Operating,"Precious metals - Au, Ag"
Binjour,Queensland,-25.5,151.5,Developing Mine,Bauxite
Black Swan,Western Australia,-30.3934,121.652,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Blackwater,Queensland,-23.685585,148.807361,Operating,Coal
Blackwater Silica,Tasmania,-41.1101,144.9469,Operating,"High-purity elements - Al, Si"
Blair Athol,Queensland,-22.6905,147.527,Operating,Coal
Bloomfield,New South Wales,-32.792189,151.566962,Operating,Coal
Blue Hills North,Western Australia,-29.1412,116.862,Care and maintenance,Iron ore
Bluff,Queensland,-23.520513,149.063875,Care and maintenance,Coal
Boddington,Western Australia,-32.7509,116.3581,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Boggabri,New South Wales,-30.590411,150.163344,Operating,Coal
Boonanarring,Western Australia,-31.223684,115.834639,Operating,"Heavy mineral sands - Ti, Zr"
Bootu Creek,Northern Territory,-18.699756,134.125836,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
British King,Western Australia,-27.9404,121.2437,Care and maintenance,"Precious metals - Au, Ag"
Broadlea,Queensland,-21.9267,148.1825,Operating,Coal
Brockman 2,Western Australia,-22.4124,117.3376,Operating,Iron ore
Brockman 4,Western Australia,-22.598301,117.220398,Operating,Iron ore
Broken Hill,New South Wales,-31.9665,141.465,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Browns Range,Western Australia,-18.859476,128.939813,Operating,Rare earth elements (REE)
Bulga,New South Wales,-32.68684,151.109984,Operating,Coal
Bungarra,Western Australia,-27.397079,121.46613,Operating,"Precious metals - Au, Ag"
Burbanks,Western Australia,-31.0279,121.1375,Care and maintenance,"Precious metals - Au, Ag"
Burton,Queensland,-21.588585,148.172558,Care and maintenance,Coal
Butcherbird - Yanneri,Western Australia,-24.367,119.683,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Byerwen,Queensland,-21.35,147.81,Operating,Coal
Cadia East,New South Wales,-33.465,149.0123,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Callide,Queensland,-24.310921,150.622173,Operating,Coal
Cameby Downs,Queensland,-26.578622,150.287178,Operating,Coal
Cannington,Queensland,-21.8658,140.9199,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Cannon,Western Australia,-30.8161,121.7629,Care and maintenance,"Precious metals - Au, Ag"
Capcoal,Queensland,-22.902571,148.551017,Operating,Coal
Cape Flattery,Queensland,-14.985,145.2722,Operating,"High-purity elements - Al, Si"
Capricorn Copper,Queensland,-19.694925,139.363156,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Carborough Downs,Queensland,-21.9502,148.2094,Operating,Coal
Carmichael,Queensland,-22.018,146.322,Developing Mine,Coal
Carnilya,Western Australia,-31.054546,121.862138,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Carosue Dam,Western Australia,-30.12,122.35,Operating,"Precious metals - Au, Ag"
Carrapateena,South Australia,-31.2175,137.4984,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Cassini,Western Australia,-31.700939,121.621101,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Cataby,Western Australia,-30.7351,115.5387,Operating,"Heavy mineral sands - Ti, Zr"
Caval Ridge,Queensland,-22.221466,148.17199,Operating,Coal
Cawse,Western Australia,-30.368888,121.148544,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Central Eyre,South Australia,-33.2438,135.6677,Developing Mine,Iron ore
Century,Queensland,-18.738057,138.625021,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Chain Valley,New South Wales,-33.163056,151.550004,Operating,Coal
Challenger,South Australia,-29.8782,133.5889,Care and maintenance,"Precious metals - Au, Ag"
Channar,Western Australia,-23.29938,117.788592,Operating,Iron ore
Charbon,New South Wales,-32.896406,149.977664,Care and maintenance,Coal
Charters Towers,Queensland,-20.0757,146.2666,Care and maintenance,"Precious metals - Au, Ag"
Chesney,New South Wales,-31.521219,145.857797,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Christmas Creek,Western Australia,-22.376169,119.758987,Operating,Iron ore
Clarence,New South Wales,-33.456479,150.24393,Operating,Coal
Clermont,Queensland,-22.689216,147.630768,Operating,Coal
Cliffs,Western Australia,-27.310489,120.552825,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Cloudbreak,Western Australia,-22.302778,119.396385,Operating,Iron ore
Cobar,New South Wales,-31.40802,145.798597,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Coburn,Western Australia,-26.70377,114.126953,Developing Mine,"Heavy mineral sands - Ti, Zr"
Cockatoo Island,Western Australia,-16.094966,123.607113,Care and maintenance,Iron ore
Cock-eyed Bob,Western Australia,-31.0895,122.1761,Operating,"Precious metals - Au, Ag"
Collinsville,Queensland,-20.567608,147.768557,Operating,Coal
Comet Vale,Western Australia,-29.954928,121.131043,Care and maintenance,"Precious metals - Au, Ag"
Commodore,Queensland,-27.930269,151.279051,Operating,Coal
Coobina,Western Australia,-23.504898,120.277372,Care and maintenance,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Cook,Queensland,-23.709213,148.914684,Care and maintenance,Coal
Cooljarloo,Western Australia,-30.593306,115.360681,Operating,"Heavy mineral sands - Ti, Zr"
Coppabella,Queensland,-21.844554,148.427187,Operating,Coal
Corinna Silica Flour,Tasmania,-41.6224,145.112,Operating,"High-purity elements - Al, Si"
Corinthia,Western Australia,-31.1245,119.2214,Operating,"Precious metals - Au, Ag"
Cornishman,Western Australia,-31.2785,119.3613,Operating,"Precious metals - Au, Ag"
Cornwall,Tasmania,-41.55,148.133333,Operating,Coal
Cosmo Howley,Northern Territory,-13.5369,131.3761,Care and maintenance,"Precious metals - Au, Ag"
Costerfield,Victoria,-36.8957,144.8015,Operating,"Precious metals - Au, Ag"
Cowal,New South Wales,-33.6369,147.4067,Operating,"Precious metals - Au, Ag"
Cracow,Queensland,-25.28928,150.2703,Operating,"Precious metals - Au, Ag"
Cullen Valley,New South Wales,-33.269288,150.016163,Care and maintenance,Coal
Cumnock,New South Wales,-32.403044,150.998616,Care and maintenance,Coal
Curara Well,Western Australia,-28.675,117.762,Developing Mine,"Precious metals - Au, Ag"
Curragh,Queensland,-23.466218,148.854144,Operating,Coal
Cyclone,Western Australia,-28.817064,128.732174,Developing Mine,"Heavy mineral sands - Ti, Zr"
Daisy Milano,Western Australia,-31.0133,121.9224,Operating,"Precious metals - Au, Ag"
Dalgaranga,Western Australia,-27.84617,117.265297,Operating,"Precious metals - Au, Ag"
Dargues Reef,New South Wales,-35.538216,149.747189,Operating,"Precious metals - Au, Ag"
Darlot,Western Australia,-27.8875,121.2689,Operating,"Precious metals - Au, Ag"
Daunia,Queensland,-22.043993,148.288546,Operating,Coal
Davyhurst,Western Australia,-30.0362,120.6706,Operating,"Precious metals - Au, Ag"
Dawson,Queensland,-24.616826,150.059238,Operating,Coal
Deflector,Western Australia,-28.6691,116.3796,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
DeGrussa,Western Australia,-25.5406,119.3281,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Dendrobium,New South Wales,-34.37685,150.759992,Operating,Coal
Devon,Western Australia,-29.2847,122.4482,Care and maintenance,"Precious metals - Au, Ag"
Dhupuma,Northern Territory,-12.38,136.82,Operating,Bauxite
Dolphin,Tasmania,-40.05334,144.05868,Developing Mine,"Other metals - Sn, W, Ta"
Donald,Victoria,-36.49918,142.78148,Developing Mine,"Heavy mineral sands - Ti, Zr, REE"
Donaldson,New South Wales,-32.792984,151.576508,Care and maintenance,Coal
Dongara,Western Australia,-29.431478,115.142893,Developing Mine,"Heavy mineral sands - Ti, Zr"
Drake,Queensland,-20.708,147.816,Operating,Coal
Duchess,Queensland,-21.874555,139.968205,Operating,"Fertiliser elements - P,K"
Dugald River,Queensland,-20.2545,140.1558,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Duralie,New South Wales,-32.29136,151.9491,Operating,Coal
Durkin North,Western Australia,-31.169,121.6514,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Earl Grey,Western Australia,-32.088,119.749,Developing Mine,Lithium
East Kundana,Western Australia,-30.72,121.23,Operating,"Precious metals - Au, Ag"
Eastern Range,Western Australia,-23.240985,117.657222,Operating,Iron ore
Edna May,Western Australia,-31.2912,118.6998,Operating,"Precious metals - Au, Ag"
Eliwana,Western Australia,-22.495916,116.940854,Operating,Iron ore
Eloise,Queensland,-20.954853,140.979894,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Endeavor,New South Wales,-31.162921,145.653796,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Eneabba,Western Australia,-29.88897336,115.3032149,Operating,"Heavy mineral sands - Ti, Zr, REE"
Ensham,Queensland,-23.454464,148.497455,Operating,Coal
Enterprise,Western Australia,-30.3719,121.089,Operating,"Precious metals - Au, Ag"
Ernest Henry,Queensland,-20.439829,140.70281,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Eureka - Bardoc,Western Australia,-30.326916,121.254587,Developing Mine,"Precious metals - Au, Ag"
Ewington,Western Australia,-33.3624,116.25,Operating,Coal
Extension Hill,Western Australia,-29.5983,117.1883,Care and maintenance,Iron ore
Fingal Rail,Tasmania,-41.8253,147.5076,Developing Mine,Bauxite
Fingerboards,Victoria,-37.79094,147.311233,Developing Mine,"Heavy mineral sands - Ti, Zr"
Finniss,Western Australia,-12.695,130.791,Developing Mine,Lithium
Firetail,Western Australia,-22.128667,117.769485,Operating,Iron ore
Flying Fox,Western Australia,-32.418462,119.688987,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Fortnum,Western Australia,-25.33,118.36,Operating,"Precious metals - Au, Ag"
Fosterville,Victoria,-36.7163,144.5036,Operating,"Precious metals - Au, Ag"
Four Mile,South Australia,-30.141667,139.529167,Operating,Uranium
Foxleigh,Queensland,-22.997778,148.803889,Operating,Coal
Frances Creek,Northern Territory,-13.564163,131.850016,Operating,Iron ore
Frasers,Western Australia,-31.237,119.3312,Developing Mine,"Precious metals - Au, Ag"
French Kiss,Western Australia,-31.2131,122.5764,Care and maintenance,"Precious metals - Au, Ag"
Frog's Leg,Western Australia,-30.7616,121.2701,Operating,"Precious metals - Au, Ag"
Gabanintha,Western Australia,-26.941848,118.632465,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Garden Well,Western Australia,-27.9064,122.356,Operating,"Precious metals - Au, Ag"
Geko,Western Australia,-30.864091,120.899997,Operating,"Precious metals - Au, Ag"
George Fisher,Queensland,-20.5711,139.472,Operating,"Base metals - Zn, Pb (Cu, Ag)"
Ginkgo-Crayfish-Snapper,New South Wales,-33.364405,142.225983,Operating,"Heavy mineral sands - Ti, Zr"
Glendell,New South Wales,-32.451192,151.077551,Operating,Coal
Golden Age,Western Australia,-26.6018,120.246,Operating,"Precious metals - Au, Ag"
Golden Camel,Victoria,-36.6462,144.7371,Developing Mine,"Precious metals - Au, Ag"
Golden Cities,Western Australia,-30.407235,121.396748,Operating,"Precious metals - Au, Ag"
Golden Dragon,Western Australia,-28.9841,116.9578,Care and maintenance,"Precious metals - Au, Ag"
Golden Grove,Western Australia,-28.7629,116.9848,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Goondicum,Queensland,-24.855651,151.433858,Care and maintenance,"Heavy mineral sands - Ti, Zr"
Goonyella,Queensland,-21.792321,147.962045,Operating,Coal
Gove,Northern Territory,-12.261117,136.837017,Operating,Bauxite
Granite Belt,Queensland,-28.83055,151.29045,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Granny Smith,Western Australia,-28.8112,122.4149,Operating,"Precious metals - Au, Ag"
Granville East,Tasmania,-41.7978,145.0862,Care and maintenance,"Other metals - Sn, W, Ta"
Grasstree,Queensland,-22.904117,148.549942,Operating,Coal
Greenbushes,Western Australia,-33.855846,116.06683,Operating,Lithium
Gregory Crinum,Queensland,-23.172246,148.356348,Care and maintenance,Coal
Groote Eylandt,Northern Territory,-13.992158,136.445547,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Grosvenor,Queensland,-21.873168,147.992728,Operating,Coal
Gruyere,Western Australia,-27.98443,123.845213,Operating,"Precious metals - Au, Ag"
Gudai-Darri,Western Australia,-22.555946,119.023928,Developing Mine,Iron ore
Gwalia,Western Australia,-28.9185,121.334,Operating,"Precious metals - Au, Ag"
Hail Creek,Queensland,-21.505383,148.406805,Operating,Coal
Hamlet,Western Australia,-31.4001,121.8122,Operating,"Precious metals - Au, Ag"
Hampton-Boulder-Jubilee,Western Australia,-31.0276,121.6031,Operating,"Precious metals - Au, Ag"
Haoma,Western Australia,-31.0119,121.9189,Operating,"Precious metals - Au, Ag"
Hawkes Creek,Tasmania,-41.096,144.8844,Operating,"High-purity elements - Al, Si"
Hellyer,Tasmania,-41.5746,145.7221,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Henty,Tasmania,-41.8664,145.5574,Operating,"Precious metals - Au, Ag"
Hera,New South Wales,-32.1107,146.3259,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Hermes,Western Australia,-25.5845,118.9098,Care and maintenance,"Precious metals - Au, Ag"
Hey Point,Queensland,-12.733,141.89,Care and maintenance,Bauxite
Higginsville,Western Australia,-31.7303,121.7377,Operating,"Precious metals - Au, Ag"
Hillgrove,New South Wales,-30.5745,151.9009,Operating,"Precious metals - Au, Ag"
Homestead,Western Australia,-30.5421,121.2283,Operating,"Precious metals - Au, Ag"
Honeymoon,South Australia,-31.74095,140.662365,Care and maintenance,Uranium
Honeymoon Well,Western Australia,-26.920375,120.379031,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Hope Downs,Western Australia,-22.94691,119.122931,Operating,Iron ore
Hunter Valley Operations,New South Wales,-32.5104,150.992,Operating,Coal
Huntly,Western Australia,-32.555795,116.166496,Operating,Bauxite
Integra,New South Wales,-32.468839,151.134981,Operating,Coal
Invincible,Western Australia,-31.3243,121.7451,Operating,"Precious metals - Au, Ag"
Invincible,New South Wales,-33.326854,150.030003,Care and maintenance,Coal
Iron Bridge,Western Australia,-21.25186,119.0557,Developing Mine,Iron ore
Iron Hill,Western Australia,-29.603324,117.175361,Care and maintenance,Iron ore
Iron Ridge,Western Australia,-26.9455,117.6818,Operating,Iron ore
Iron Valley,Western Australia,-22.7201,119.3171,Operating,Iron ore
Isaac Plains,Queensland,-21.992,148.108,Operating,Coal
Jacinth-Ambrosia,South Australia,-30.861125,132.228669,Operating,"Heavy mineral sands - Ti, Zr"
Jack Hills,Western Australia,-26.05232,117.2414,Care and maintenance,Iron ore
Jaguar,Western Australia,-28.4446,121.1551,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Janet Ivy,Western Australia,-30.7745,121.3834,Operating,"Precious metals - Au, Ag"
Jaurdi,Western Australia,-30.68871,120.925,Operating,"Precious metals - Au, Ag"
Jax,Queensland,-20.72,147.87,Operating,Coal
Jeebropilly,Queensland,-27.623017,152.659355,Care and maintenance,Coal
Jellinbah East,Queensland,-23.406874,148.950644,Operating,Coal
Jimblebar,Western Australia,-23.379259,120.139061,Operating,Iron ore
Julia Creek,Queensland,-20.7183,141.99358,Developing Mine,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Jundee,Western Australia,-26.3725,120.6041,Operating,"Precious metals - Au, Ag"
Jupiter,Western Australia,-28.8072,122.2192,Operating,"Precious metals - Au, Ag"
Kalgoorlie (super pit),Western Australia,-30.7781,121.505,Operating,"Precious metals - Au, Ag"
Kanmantoo,South Australia,-35.0919,139.0054,Developing Mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Kanowna Belle,Western Australia,-30.6101,121.5761,Operating,"Precious metals - Au, Ag"
Kara,Tasmania,-41.309996,145.772011,Operating,Iron ore
Karara,Western Australia,-29.16019,116.8005,Operating,Iron ore
Karlawindra,Western Australia,-23.7646,120.0997,Operating,"Precious metals - Au, Ag"
Karonie,Western Australia,-31.034,122.56,Operating,"Precious metals - Au, Ag"
Kestrel,Queensland,-23.241972,148.370306,Operating,Coal
Keysbrook,Western Australia,-32.46423,115.938797,Operating,"Heavy mineral sands - Ti, Zr"
King of the Hills,Western Australia,-28.6715,121.163,Developing Mine,"Precious metals - Au, Ag"
King Vol,Queensland,-16.9363,144.2496,Care and maintenance,"Base metals - Zn, Pb (Cu, Ag)"
Kings,Western Australia,-22.17611,117.5217,Operating,Iron ore
Kogan Creek,Queensland,-26.895716,150.772631,Operating,Coal
Koolan Island,Western Australia,-16.127535,123.740184,Operating,Iron ore
Koolyanobbing,Western Australia,-30.8336,119.538,Operating,Iron ore
Korella,Queensland,-21.93875,139.975706,Developing Mine,Rare earth elements (REE)
Kulwin-Woornack,Victoria,-34.28029,143.3796,Care and maintenance,"Heavy mineral sands - Ti, Zr"
Kundana,Western Australia,-30.711143,121.231141,Operating,"Precious metals - Au, Ag"
Kunwarara,Queensland,-22.8814,150.1869,Operating,"Battery/alloy metals - Ni, Co, Mn, V, Mo, Mg"
Lady Annie,Queensland,-19.773053,139.044016,Operating,"Base metals - Cu (Zn, Pb, Ag, Au)"
Lady Loretta,Queensland,-19.768589,139.070193,Operating,"Base metals - Zn, Pb (Cu, Ag)"
