Region,Reporter Name,Year,ExportValue
East Asia & Pacific,Australia,2000,37326128.17
East Asia & Pacific,Australia,2001,36187784.75
East Asia & Pacific,Australia,2002,37612100.02
East Asia & Pacific,Australia,2003,40565986.07
East Asia & Pacific,Australia,2004,51185132.03
East Asia & Pacific,Australia,2005,65216576.71
East Asia & Pacific,Australia,2006,74382456.38
East Asia & Pacific,Australia,2007,86040380.72
East Asia & Pacific,Australia,2008,117450019.1
East Asia & Pacific,Australia,2009,101812882
East Asia & Pacific,Australia,2010,145837814.5
East Asia & Pacific,Australia,2011,192090321.5
East Asia & Pacific,Australia,2012,186945886.2
East Asia & Pacific,Australia,2013,170787433.9
East Asia & Pacific,Australia,2014,181712193.5
East Asia & Pacific,Australia,2015,134503718.1
East Asia & Pacific,Australia,2016,133655240.2
East Asia & Pacific,Australia,2017,144512786.1
East Asia & Pacific,Australia,2018,192440554
East Asia & Pacific,Australia,2019,202974830.3
Europe & Central Asia,Australia,2000,7893281.748
Europe & Central Asia,Australia,2001,8254537.987
Europe & Central Asia,Australia,2002,8765583.827
Europe & Central Asia,Australia,2003,10777595.17
Europe & Central Asia,Australia,2004,10487617.24
Europe & Central Asia,Australia,2005,12334071.92
Europe & Central Asia,Australia,2006,16741577.59
Europe & Central Asia,Australia,2007,18672676.62
Europe & Central Asia,Australia,2008,22200025.15
Europe & Central Asia,Australia,2009,14633444.12
Europe & Central Asia,Australia,2010,18512171.07
Europe & Central Asia,Australia,2011,22391088.48
Europe & Central Asia,Australia,2012,19822316.37
Europe & Central Asia,Australia,2013,13513947.34
Europe & Central Asia,Australia,2014,12305292.75
Europe & Central Asia,Australia,2015,10799157.35
Europe & Central Asia,Australia,2016,15965676.22
Europe & Central Asia,Australia,2017,15039506.88
Europe & Central Asia,Australia,2018,14638370.53
Europe & Central Asia,Australia,2019,21216052.58
Latin America & Caribbean,Australia,2000,825431.659
Latin America & Caribbean,Australia,2001,734045.417
Latin America & Caribbean,Australia,2002,784504.618
Latin America & Caribbean,Australia,2003,939688.903
Latin America & Caribbean,Australia,2004,1127479.294
Latin America & Caribbean,Australia,2005,1744022.125
Latin America & Caribbean,Australia,2006,1879567.77
Latin America & Caribbean,Australia,2007,1890324.582
Latin America & Caribbean,Australia,2008,2783431.879
Latin America & Caribbean,Australia,2009,2078051.263
Latin America & Caribbean,Australia,2010,3056523.157
Latin America & Caribbean,Australia,2011,3870683.834
Latin America & Caribbean,Australia,2012,3027271.121
Latin America & Caribbean,Australia,2013,1761066.037
Latin America & Caribbean,Australia,2014,1998921.843
Latin America & Caribbean,Australia,2015,2026566.729
Latin America & Caribbean,Australia,2016,1780763.479
Latin America & Caribbean,Australia,2017,1960636.949
Latin America & Caribbean,Australia,2018,2108772.436
Latin America & Caribbean,Australia,2019,1619720.729
Middle East & North Africa,Australia,2000,3295030.948
Middle East & North Africa,Australia,2001,4075389.91
Middle East & North Africa,Australia,2002,3971681.999
Middle East & North Africa,Australia,2003,3387985.892
Middle East & North Africa,Australia,2004,4448056.361
Middle East & North Africa,Australia,2005,4243135.648
Middle East & North Africa,Australia,2006,5138309.838
Middle East & North Africa,Australia,2007,6142891.221
Middle East & North Africa,Australia,2008,7987061.58
Middle East & North Africa,Australia,2009,5616239.171
Middle East & North Africa,Australia,2010,6186038.483
Middle East & North Africa,Australia,2011,7514558.549
Middle East & North Africa,Australia,2012,7562435.193
Middle East & North Africa,Australia,2013,6496327.265
Middle East & North Africa,Australia,2014,8514764.259
Middle East & North Africa,Australia,2015,6855993.498
Middle East & North Africa,Australia,2016,6219379.971
Middle East & North Africa,Australia,2017,4259905.503
Middle East & North Africa,Australia,2018,7179933.001
Middle East & North Africa,Australia,2019,6035860.43
North America,Australia,2000,7182834.596
North America,Australia,2001,7109392.941
North America,Australia,2002,7328453.947
North America,Australia,2003,7292814.616
North America,Australia,2004,8458538.214
North America,Australia,2005,8434667.871
North America,Australia,2006,8849884.435
North America,Australia,2007,9922366.127
North America,Australia,2008,11480402.9
North America,Australia,2009,8593682.588
North America,Australia,2010,9583755.53
North America,Australia,2011,11402595.22
North America,Australia,2012,11242234.88
North America,Australia,2013,8647779.812
North America,Australia,2014,11050716.6
North America,Australia,2015,11139639.19
North America,Australia,2016,10077626.9
North America,Australia,2017,9524050.086
North America,Australia,2018,10970570.44
North America,Australia,2019,11689043.31
South Asia,Australia,2000,1641751.693
South Asia,Australia,2001,1851078.688
South Asia,Australia,2002,1942157.085
South Asia,Australia,2003,2678143.481
South Asia,Australia,2004,4748830.112
South Asia,Australia,2005,6021103.035
South Asia,Australia,2006,7180728.589
South Asia,Australia,2007,8500514.401
South Asia,Australia,2008,12208180.83
South Asia,Australia,2009,12324491.41
South Asia,Australia,2010,16394818.58
South Asia,Australia,2011,17085959.07
South Asia,Australia,2012,14109814.68
South Asia,Australia,2013,9624089.073
South Asia,Australia,2014,9139700.234
South Asia,Australia,2015,9247471.331
South Asia,Australia,2016,9265165.084
South Asia,Australia,2017,12597892.58
South Asia,Australia,2018,13654337.84
South Asia,Australia,2019,10793612.41
Sub-Saharan Africa,Australia,2000,1110319.557
Sub-Saharan Africa,Australia,2001,1133795.291
